,coords,content
23,"[[981, 331], [1041, 331], [1041, 345], [981, 345]]",Diffusion
24,"[[869, 353], [951, 353], [951, 367], [869, 367]]",Manipulation
25,"[[1003, 367], [1031, 367], [1031, 381], [1003, 381]]",Crop
26,"[[1089, 367], [1153, 367], [1153, 401], [1089, 401]]","Cropleft PIL,crop()"
27,"[[1201, 367], [1267, 367], [1267, 401], [1201, 401]]",CropRiBht PIL.crop()
28,"[[1315, 367], [1379, 367], [1379, 401], [1315, 401]]",CrOpAbOVe PIL.crop()
29,"[[1421, 367], [1485, 367], [1485, 401], [1421, 401]]",CropBelow PILcrop()
30,"[[983, 387], [1047, 387], [1047, 401], [983, 401]]","PIL,crop()"
31,"[[999, 441], [1021, 441], [1021, 455], [999, 455]]",Ust
32,"[[1089, 445], [1155, 445], [1155, 479], [1089, 479]]",Arithmetic LoBical
33,"[[1227, 441], [1253, 441], [1253, 455], [1227, 455]]",Eval
34,"[[1329, 441], [1365, 441], [1365, 455], [1329, 455]]",Count
35,"[[1435, 441], [1473, 441], [1473, 455], [1435, 455]]",Result
36,"[[875, 445], [943, 445], [943, 477], [875, 477]]",Knowledge Retrieval
37,"[[995, 463], [1023, 463], [1023, 475], [995, 475]]",GPT
38,"[[1219, 463], [1259, 463], [1259, 477], [1219, 477]]",eval()
39,"[[1329, 463], [1363, 463], [1363, 477], [1329, 477]]",len()
40,"[[1433, 463], [1473, 463], [1473, 477], [1433, 477]]",Jict()
41,"[[849, 516], [1522, 516], [1522, 1984], [849, 1984]]","Figure 2_ Modules currently supported i VISPROG。 Red modules use neural models (OWL-Vir [21], DSFD 18], Mask- Former [6], CLIP [23], ViLT [16], and Stable Diffusion [28]). Blue modules use image processing and other Python subroutines。 These modules are ivoked i programs generated from natural language instructions. Adding new modules to extend VISPROG's capabilities is straightforward (Code.1). and a Small number Of in-context examples to create Com- plex programs without requiring any training' Programs created by VISPROG also use higher-level of abstraction than NMNs and ivoke trained state-of-the-art models and nonl-neural python subroutines (Fig: 2). These advantages make VISPROG 31 easy-to-Use, Performant, and modular neuro-symbolic system。 VISPROG is also highly interpretable。 First。 VISPROG produces easy-to-understand programs Which USEI Can verify for logical correctness_ Second, by breaking down the prediction into simple steps, VISPROG allows 3 USCI t0 inspect the outputs Of intermediate steps to diagnose errors and 让 required, intervene in the reasoning process。 Alto- gether, an executed program with intermediate step results (e.8. text, bounding boxes, segmentation masks, generated images, etc .) linked together to depict the flow ofinforma- tion serves as a visual rationale for the prediction_ To demonstrate ils flexibility, we use VISPROG for 4 dif- ferent tasks that share some common skills (e.8一 for j- age parsing) While also requiring some degree Of special- ized reasoning and visual manipulation capabilities。 These tasks are (i) compositional visual question answering; (i) zero-shot natural language visual reasoning (NLVR) on im- age pairs; (试) factual knowledge object tagging from natu- ral language instructions; and (iv) language-guided image editing: We emphasize that neither the language model nor any Of the modules are finetuned 讥 any way。 Adapt ing VISPROG to any task is as simple as providing a few in-context examples consisting Ofnatural language instruc- tions and the corresponding programs_ While easy tO use VISPROG shows an impressive gain Of 2 points OVCI base VQA model on the compositional VQA task, strong zero-shot accuracy of 62.4% on NLVR without ever train- ig OI image pairs, and delightful qualitative and quantita- tive results on knowledge tagging and image editing tasks。 1We use 'training' to refer to gradient-based learning to differentiate it from in-context learning which only involves a feedforward pass_"
42,"[[1169, 219], [1195, 219], [1195, 237], [1169, 237]]",5e8
43,"[[1335, 295], [1361, 295], [1361, 313], [1335, 313]]",Ta
